userFromName,userFromId,userToId,userToName,Sentiment_from,Sentiment_to,weight
Bharat7140,9.58E+17,9.43E+17,GunjaSV,-0.64,0.72,-0.4608
Sajjad29101278,8.07E+17,9.43E+17,GunjaSV,0.62,0.72,0.4464
ArshadChishti_,1317434616,9.43E+17,GunjaSV,-0.17,0.72,-0.1224
hisamuddink51,8.38E+17,9.43E+17,GunjaSV,-0.66,0.72,-0.4752
ERRKVAID3,1.03E+18,9.43E+17,GunjaSV,0,0.72,0
Sayed23219671,9.94E+17,9.43E+17,GunjaSV,0,0.72,0
_GuruGhantal_,1.01E+18,9.43E+17,GunjaSV,0,0.72,0
HakimSinghRagh1,9.59E+17,9.43E+17,GunjaSV,0,0.72,0
Bharat7140,9.58E+17,1.08E+18,AaliyaAkhter,-0.64,-0.49,0.3136
IAmShereAalam,607270051,1.08E+18,AaliyaAkhter,0,-0.49,0
WasiuddinSiddi1,9.24E+17,1.08E+18,AaliyaAkhter,0.67,-0.49,-0.3283
WDhongre,1.04E+18,1.08E+18,AaliyaAkhter,-0.69,-0.49,0.3381
ERRKVAID3,1.03E+18,1.08E+18,AaliyaAkhter,0,-0.49,0
akhterzaidi,437753350,1.08E+18,AaliyaAkhter,0.23,-0.49,-0.1127
Drraj94397198,9.47E+17,1.08E+18,AaliyaAkhter,0.77,-0.49,-0.3773
AzmiAxpress,1.08E+18,1.08E+18,AaliyaAkhter,0,-0.49,0
AbrarNoori8,1.07E+18,1.08E+18,AaliyaAkhter,0.45,-0.49,-0.2205
Sana__Siddique,1.05E+18,1.08E+18,AaliyaAkhter,0.82,-0.49,-0.4018
MOHAMMED___SRH,9.29E+17,1.08E+18,AaliyaAkhter,-0.59,-0.49,0.2891
aftabnazim786,4123141394,1.08E+18,AaliyaAkhter,0.68,-0.49,-0.3332
Fairystylesmoon,7.01E+17,1.08E+18,AaliyaAkhter,0.73,-0.49,-0.3577
SUBASH50693,1.04E+18,1.08E+18,AaliyaAkhter,-0.33,-0.49,0.1617
Dilsedesh,7.10E+17,1.08E+18,AaliyaAkhter,0.36,-0.49,-0.1764
HakimSinghRagh1,9.59E+17,1.08E+18,AaliyaAkhter,0,-0.49,0
Bharat7140,9.58E+17,1.05E+18,Sana__Siddique,-0.64,0.82,-0.5248
Sajjad29101278,8.07E+17,1.05E+18,Sana__Siddique,0.62,0.82,0.5084
WasiuddinSiddi1,9.24E+17,1.05E+18,Sana__Siddique,0.67,0.82,0.5494
AnilKumarSaga11,4226305694,1.05E+18,Sana__Siddique,0,0.82,0
hisamuddink51,8.38E+17,1.05E+18,Sana__Siddique,-0.66,0.82,-0.5412
ERRKVAID3,1.03E+18,1.05E+18,Sana__Siddique,0,0.82,0
akhterzaidi,437753350,1.05E+18,Sana__Siddique,0.23,0.82,0.1886
Sayed23219671,9.94E+17,1.05E+18,Sana__Siddique,0,0.82,0
MahapatPravat,2875395596,1.05E+18,Sana__Siddique,0.58,0.82,0.4756
AzmiAxpress,1.08E+18,1.05E+18,Sana__Siddique,0,0.82,0
devendranathyad,2658438998,1.05E+18,Sana__Siddique,0.37,0.82,0.3034
AbrarNoori8,1.07E+18,1.05E+18,Sana__Siddique,0.45,0.82,0.369
aftabnazim786,4123141394,1.05E+18,Sana__Siddique,0.68,0.82,0.5576
AaliyaAkhter,1.08E+18,1.05E+18,Sana__Siddique,-0.49,0.82,-0.4018
SUBASH50693,1.04E+18,1.05E+18,Sana__Siddique,-0.33,0.82,-0.2706
Dilsedesh,7.10E+17,1.05E+18,Sana__Siddique,0.36,0.82,0.2952
HakimSinghRagh1,9.59E+17,1.05E+18,Sana__Siddique,0,0.82,0
alishaikh1737,7.07E+17,1.05E+18,Sana__Siddique,0.39,0.82,0.3198
Bharat7140,9.58E+17,9.94E+17,Sayed23219671,-0.64,0,0
kawaljeetyadav7,4245793992,9.94E+17,Sayed23219671,-0.64,0,0
YourGirlNeha,1.04E+18,9.94E+17,Sayed23219671,0.67,0,0
ArshadChishti_,1317434616,9.94E+17,Sayed23219671,-0.17,0,0
WasiuddinSiddi1,9.24E+17,9.94E+17,Sayed23219671,0.67,0,0
hisamuddink51,8.38E+17,9.94E+17,Sayed23219671,-0.66,0,0
ERRKVAID3,1.03E+18,9.94E+17,Sayed23219671,0,0,0
rahulyadav0421,2969169408,9.94E+17,Sayed23219671,0.43,0,0
AnkurYa20727560,8.71E+17,9.94E+17,Sayed23219671,0,0,0
devendranathyad,2658438998,9.94E+17,Sayed23219671,0.37,0,0
Sana__Siddique,1.05E+18,9.94E+17,Sayed23219671,0.82,0,0
SUBASH50693,1.04E+18,9.94E+17,Sayed23219671,-0.33,0,0
HakimSinghRagh1,9.59E+17,9.94E+17,Sayed23219671,0,0,0
Bharat7140,9.58E+17,244818009,vikascongress,-0.64,0.9,-0.576
Sajjad29101278,8.07E+17,244818009,vikascongress,0.62,0.9,0.558
WDhongre,1.04E+18,244818009,vikascongress,-0.69,0.9,-0.621
MdKhan7861,526846831,244818009,vikascongress,0.37,0.9,0.333
Kadirsolanki2,9.86E+17,244818009,vikascongress,0.19,0.9,0.171
talha4lee,336211327,244818009,vikascongress,0,0.9,0
AbidDairdwal,1530182425,244818009,vikascongress,0,0.9,0
ERRKVAID3,1.03E+18,244818009,vikascongress,0,0.9,0
AzmiAxpress,1.08E+18,244818009,vikascongress,0,0.9,0
CongressALL,86663727,244818009,vikascongress,0.55,0.9,0.495
_GuruGhantal_,1.01E+18,244818009,vikascongress,0,0.9,0
Bharat7140,9.58E+17,9.11E+17,ahanafatima786,-0.64,-0.37,0.2368
IAmShereAalam,607270051,9.11E+17,ahanafatima786,0,-0.37,0
WDhongre,1.04E+18,9.11E+17,ahanafatima786,-0.69,-0.37,0.2553
